X,Y,U(C)
0.375,1.0,92.38795325112868
0.375,0.9375,86.4429571690262
0.375,0.875,80.53118063058612
0.375,0.8125,74.65035177323827
0.375,0.75,68.7982106274329
0.375,0.6875,62.97250824814681
0.375,0.625,57.171005850626614
0.375,0.5625,51.39147395003611
0.375,0.5,45.6316915046779
0.375,0.4375,39.88944506245945
0.375,0.375,34.16252791027592
0.375,0.3125,28.448739225982653
0.375,0.25,22.745883232631567
0.375,0.1875,17.0517683546464
0.375,0.125,11.364206375612502
0.375,0.0625,5.68101159735756
0.375,0.0,0
